,lineID,characterID,movieID,character,text
L119302,L119302,u667,m42,RICK,"Why weren't you honest with me? Why did you keep your marriage a secret?
"
L119301,L119301,u664,m42,ILSA,"It wasn't long after we were married that Victor went back to Czechoslovakia. They needed him in Prague, but there the Gestapo were waiting for him. Just a two-line item in the paper: ""Victor Laszlo apprehended. Sent to concentration camp."" I was frantic. For months I tried to get word. Then it came. He was dead, shot trying to escape. I was lonely. I had nothing. Not even hope. Then I met you.
"
L119300,L119300,u667,m42,RICK,"And then?
"
L119296,L119296,u667,m42,RICK,"If Laszlo and the cause mean so much to you, you won't stop at anything. All right, I'll make it easier for you.
"
L119295,L119295,u664,m42,ILSA,"For the last time, put them on the table.
"
L119294,L119294,u667,m42,RICK,"No.
"
L119293,L119293,u664,m42,ILSA,"Put them on the table.
"
L119292,L119292,u667,m42,RICK,"I don't have to. I've got them right here.
"
L119291,L119291,u664,m42,ILSA,"-- All right. I tried to reason with you. I tried everything. Now I want those letters. Get them for me.
"
L119289,L119289,u667,m42,RICK,"What of it? I'm going to die in Casablanca. It's a good spot for it.
"
L119288,L119288,u664,m42,ILSA,"No. Oh, Richard, I'm sorry. I'm sorry, but, but you, you are our last hope. If you don't help us, Victor Laszlo will die in Casablanca.
"
L119286,L119286,u667,m42,RICK,"-- I wouldn't believe you, no matter what you told me. You'd say anything now to get what you want.
"
L119285,L119285,u664,m42,ILSA,"Please. Please listen to me. If you knew what really happened, if you only knew the truth --
"
L119284,L119284,u667,m42,RICK,"-- I wouldn't bring up Paris if I were you. It's poor salesmanship.
"
L119283,L119283,u664,m42,ILSA,"Richard, Richard, we loved each other once. If those days meant anything at all to you --
"
L119282,L119282,u667,m42,RICK,"I'm not fighting for anything anymore, except myself. I'm the only cause I'm interested in.
"
L119281,L119281,u664,m42,ILSA,"It was your cause, too. In your own way, you were fighting for the same thing.
"
L119280,L119280,u667,m42,RICK,"Do I have to hear again what a great man your husband is? What an important cause he's fighting for?
"
L119279,L119279,u664,m42,ILSA,"I know how you feel about me, but I'm asking you to put your feelings aside for something more important.
"
L119278,L119278,u667,m42,RICK,"I went through all that with your husband. It's no deal.
"
L119277,L119277,u664,m42,ILSA,"You can ask any price you want, but you must give me those letters.
"
L119276,L119276,u667,m42,RICK,"Your unexpected visit isn't connected by any chance with the letters of transit? It seems that as long as I have those letters I'll never be lonely.
"
L119275,L119275,u664,m42,ILSA,"Please.
"
L119274,L119274,u667,m42,RICK,"You use ""Richard"" again? We're back in Paris.
"
L119273,L119273,u664,m42,ILSA,"Richard, I had to see you.
"
L119272,L119272,u667,m42,RICK,"I told you this morning you'd come around, but this is a little ahead of schedule. Well, won't you sit down?
"
L119271,L119271,u664,m42,ILSA,"The stairs from the street.
"
L119270,L119270,u667,m42,RICK,"How did you get in?
"
L119009,L119009,u664,m42,ILSA,"No, Rick. No, you see, Victor Laszlo is my husband... and was, even when I knew you in Paris.
"
L119008,L119008,u667,m42,RICK,"All the same, someday you'll lie to Laszlo. You'll be there.
"
L119007,L119007,u667,m42,RICK,"Well, I'm not running away any more. I'm settled now, above a saloon, it's true, but... walk up a flight. I'll be expecting you.
"
L119006,L119006,u664,m42,ILSA,"You can believe that if you want to.
"
L119005,L119005,u667,m42,RICK,"Did you run out on me because you couldn't take it? Because you knew what it would be like, hiding from the police, running away all the time?
"
L119004,L119004,u664,m42,ILSA,"Last night I saw what has happened to you. The Rick I knew in Paris, I could tell him. He'd understand. But the one who looked at me with such hatred... well, I'll be leaving Casablanca soon and we'll never see each other again. We knew very little about each other when we were in love in Paris. If we leave it that way, maybe we'll remember those days and not Casablanca, not last night.
"
L119003,L119003,u667,m42,RICK,"Why not? After all, I got stuck with a railway ticket. I think I'm entitled to know.
"
L119002,L119002,u664,m42,ILSA,"I don't think I will, Rick.
"
L119001,L119001,u667,m42,RICK,"Well, you can tell me now. I'm reasonably sober.
"
L119000,L119000,u664,m42,ILSA,"Yes.
"
L118999,L118999,u667,m42,RICK,"Why did you come back? To tell me why you ran out on me at the railway station?
"
L118993,L118993,u664,m42,ILSA,"It doesn't matter.
"
L118992,L118992,u667,m42,RICK,"I'm sorry I was in no condition to receive you when you called on me last night.
"
L118909,L118909,u667,m42,RICK,"Yes, that's very pretty. I heard a story once. As a matter of fact, I've heard a lot of stories in my time. They went along with the sound of a tinny piano playing in the parlor downstairs, ""Mister, I met a man once when I was a kid,"" it'd always begin. Huh. I guess neither one of our stories was very funny. Tell me, who was it you left me for? Was it Laszlo, or were there others in between? Or aren't you the kind that tells?
"
L118908,L118908,u664,m42,ILSA,"It's about a girl who had just come to Paris from her home in Oslo. At the house of some friends she met a man about whom she'd heard her whole life, a very great and courageous man. He opened up for her a whole beautiful world full of knowledge and thoughts and ideals. Everything she knew or ever became was because of him. And she looked up to him and worshipped him with a feeling she supposed was love.
"
L118907,L118907,u667,m42,RICK,"Well, go on, tell it. Maybe one will come to you as you go along.
"
L118906,L118906,u664,m42,ILSA,"I don't know the finish yet.
"
L118905,L118905,u667,m42,RICK,"Has it got a wow finish?
"
L118904,L118904,u664,m42,ILSA,"Can I tell you a story, Rick?
"
L118903,L118903,u667,m42,RICK,"Well, I did. Every one of them. Mostly I remember the last one. A wow finish. A guy standing on a station platform in the rain with a comical look on his face, because his insides had been kicked out.
"
L118902,L118902,u664,m42,ILSA,"I didn't count the days.
"
L118901,L118901,u667,m42,RICK,"Huh! You understand how I feel. How long was it we had, honey?
"
L118900,L118900,u664,m42,ILSA,"Please don't. Don't, Rick. I can understand how you feel.
"
L118899,L118899,u667,m42,RICK,"It's funny about your voice, how it hasn't changed. I can still hear it. ""Richard dear, I'll go with you any place. We'll get on a train together and never stop.""
"
L118898,L118898,u664,m42,ILSA,"I wouldn't have come if I had known that you were here. Believe me, Rick, it's true. I didn't know.
"
L118897,L118897,u667,m42,RICK,"Why did you have to come to Casablanca? There are other places.
"
L118896,L118896,u664,m42,ILSA,"Please.
"
L118895,L118895,u667,m42,RICK,"Especially tonight.
"
L118894,L118894,u664,m42,ILSA,"No. No, Rick. Not tonight.
"
L118893,L118893,u667,m42,RICK,"Oh. I saved my first drink to have with you. Here.
"
L118887,L118887,u664,m42,ILSA,"I love you so much, and I hate this war so much. Oh, it's a crazy world. Anything can happen. If you shouldn't get away, I mean, if, if something should keep us apart, wherever they put you and wherever I'll be, I want you to know...
"
L118886,L118886,u667,m42,RICK,"Well, why not? The captain on a ship can. It doesn't seem fair that... Hey, hey, what's wrong, kid?
"
L118885,L118885,u664,m42,ILSA,"Oh, darling!
"
L118884,L118884,u667,m42,RICK,"Yes, I guess it is a little too far ahead. Well, let's see. What about the engineer? Why can't he marry us on the train?
"
L118883,L118883,u664,m42,ILSA,"That's too far ahead to plan.
"
L118882,L118882,u667,m42,RICK,"All right. At a quarter to five.  Say, why don't we get married in Marseilles?
"
L118881,L118881,u664,m42,ILSA,"No, no. Not at my hotel. I, uh, I have things to do in the city before I leave. I'll meet you at the station, huh?
"
L118880,L118880,u667,m42,RICK,"-- The train for Marseilles leaves at five o'clock. I'll pick you up at your hotel at four-thirty.
"
L118879,L118879,u664,m42,ILSA,"Yes, of course, we --
"
L118878,L118878,u667,m42,RICK,"No, no, no, no. We must leave.
"
L118877,L118877,u664,m42,ILSA,"But be serious, darling. You are in danger and you must leave Paris.
"
L118876,L118876,u667,m42,RICK,"I know very little about you, just the fact that you had your teeth straightened.
"
L118875,L118875,u664,m42,ILSA,"Strange. I know so very little about you.
"
L118871,L118871,u667,m42,RICK,"Ah, that's the new German 77. And judging by the sound, only about thirty-five miles away.
"
L118870,L118870,u664,m42,ILSA,"Was that cannon fire, or is it my heart pounding?
"
L118869,L118869,u667,m42,RICK,"Looking for a job.
"
L118868,L118868,u664,m42,ILSA,"Ten years ago? Let's see...  ...Yes. I was having a brace put on my teeth. Where were you?
"
L118867,L118867,u667,m42,RICK,"Yeah. It's pretty bad timing. Where were you, say, ten years ago?
"
L118866,L118866,u664,m42,ILSA,"With the whole world crumbling, we pick this time to fall in love.
"
L118865,L118865,u664,m42,ILSA,"It's the Gestapo. They say they expect to be in Paris tomorrow.
"
L118864,L118864,u667,m42,RICK,"My German's a little rusty.
"
L118860,L118860,u667,m42,RICK,"I'm on their blacklist already, their roll of honor.
"
L118859,L118859,u664,m42,ILSA,"Richard, they'll find out your record. It won't be safe for you here.
"
L118857,L118857,u664,m42,ILSA,"Well, only one answer can take care of all our questions.
"
L118856,L118856,u667,m42,RICK,"I'm sorry for asking. I forgot we said ""no questions.""
"
L118855,L118855,u664,m42,ILSA,"That's easy. There was. He's dead.
"
L118854,L118854,u667,m42,RICK,"Uh huh.
"
L118853,L118853,u664,m42,ILSA,"Why there is no other man in my life?
"
L118852,L118852,u667,m42,RICK,"Why I'm so lucky. Why I should find you waiting for me to come along.
"
L118851,L118851,u664,m42,ILSA,"Yes?
"
L118850,L118850,u667,m42,RICK,"And I was wondering.
"
L118849,L118849,u664,m42,ILSA,"I'm willing to be overcharged. Tell me.
"
L118848,L118848,u667,m42,RICK,"In America they'd bring only a penny. I guess that's about all they're worth.
"
L118847,L118847,u664,m42,ILSA,"A franc for your thoughts.
"
L118846,L118846,u667,m42,RICK,"Here's looking at you, kid.
"
L118845,L118845,u664,m42,ILSA,"We said ""no questions.""
"
L118844,L118844,u667,m42,RICK,"Who are you really? And what were you before? What did you do and what did you think? Huh?
"
L118799,L118799,u667,m42,RICK,"He hasn't played it in a long time.
"
L118798,L118798,u664,m42,ILSA,"There's still nobody in the world who can play ""As Time Goes By"" like Sam.
"
L118797,L118797,u667,m42,RICK,"I will.
"
L118796,L118796,u664,m42,ILSA,"Say goodnight to Sam for me.
"
L118785,L118785,u664,m42,ILSA,"Yes. I put that dress away. When the Germans march out, I'll wear it again.
"
L118784,L118784,u667,m42,RICK,"I remember every detail. The Germans wore gray, you wore blue.
"
L118783,L118783,u664,m42,ILSA,"No.
"
L118782,L118782,u667,m42,RICK,"Not an easy day to forget.
"
L118781,L118781,u664,m42,ILSA,"How nice. You remembered. But of course, that was the day the Germans marched into Paris.
"
L118780,L118780,u667,m42,RICK,"-- It was ""La Belle Aurore.""
"
L118751,L118751,u664,m42,ILSA,"Play it, Sam. Play ""As Time Goes By.""
"
L118749,L118749,u664,m42,ILSA,"Play it once, Sam, for old time's sake.
"
L118747,L118747,u664,m42,ILSA,"You used to be a much better liar, Sam.
"
L118745,L118745,u664,m42,ILSA,"Does he always leave so early?
"
L118743,L118743,u664,m42,ILSA,"When will he be back?
"
L118741,L118741,u664,m42,ILSA,"Where is Rick?
"
L118739,L118739,u664,m42,ILSA,"Some of the old songs, Sam.
"
L118737,L118737,u664,m42,ILSA,"It's been a long time.
"
L118735,L118735,u664,m42,ILSA,"Hello, Sam.
"
L119477,L119477,u664,m42,ILSA,"Yes, I'm ready.  Goodbye, Rick. God bless you.
"
L119257,L119257,u664,m42,ILSA,"Be careful.
"
L119253,L119253,u664,m42,ILSA,"Yes, Yes I know. Victor, whatever I do, will you believe that I, that --
"
L119251,L119251,u664,m42,ILSA,"No, Victor, there isn't.
"
L119249,L119249,u664,m42,ILSA,"Yes, Victor, I was.
"
L119247,L119247,u664,m42,ILSA,"-- Yes?
"
L119243,L119243,u664,m42,ILSA,"Ask me?
"
L119241,L119241,u664,m42,ILSA,"Did he give any reason?
"
L119239,L119239,u664,m42,ILSA,"Yes?
"
L119237,L119237,u664,m42,ILSA,"Whatever I'd say, you'd carry on. Victor, why don't you tell me about Rick? What did you find out?
"
L119235,L119235,u664,m42,ILSA,"Don't joke. After Major Strasser's warning tonight, I am frightened.
"
L119233,L119233,u664,m42,ILSA,"Victor, please, don't go to the underground meeting tonight.
"
L119230,L119230,u664,m42,ILSA,"What happened with Rick?
"
L119147,L119147,u664,m42,ILSA,"He does. Could we have a table close to him?
"
L119026,L119026,u664,m42,ILSA,"Yes, I see. When I had trouble getting out of Lille, why didn't you leave me there? And when I was sick in Marseilles and held you up for two weeks and you were in danger every minute of the time, why didn't you leave me then?
"
L119024,L119024,u664,m42,ILSA,"But, Victor, if the situation were different, if I had to stay and there were only a visa for one, would you take it?
"
L119021,L119021,u664,m42,ILSA,"No, Victor, no.
"
L119019,L119019,u664,m42,ILSA,"We are only interested in two visas, Signor.
"
L118808,L118808,u664,m42,ILSA,"Goodnight.
"
L118800,L118800,u664,m42,ILSA,"Goodnight.
"
L118714,L118714,u664,m42,ILSA,"Be careful.
"
L118711,L118711,u664,m42,ILSA,"Victor, I'm afraid for you.
"
L118682,L118682,u664,m42,ILSA,"You are very kind.
"
L118660,L118660,u664,m42,ILSA,"Victor, I, I feel somehow we shouldn't stay here.
"
L119455,L119455,u664,m42,ILSA,"You're saying this only to make me go.
"
L118779,L118779,u664,m42,ILSA,"I wasn't sure you were the same. Let's see, the last time we met --
"
L118763,L118763,u664,m42,ILSA,"-- This is Mr. Laszlo.
"
L118760,L118760,u664,m42,ILSA,"Hello, Rick.
"
L118694,L118694,u664,m42,ILSA,"-- Is what?
"
L118692,L118692,u664,m42,ILSA,"Rick? Who's he?
"
L118690,L118690,u664,m42,ILSA,"Yes.
"
L118688,L118688,u664,m42,ILSA,"Captain, the boy who is playing the piano, somewhere I have seen him.
"
L119473,L119473,u667,m42,RICK,"Here it is.
"
L119469,L119469,u667,m42,RICK,"But you didn't know she was at my place last night when you were. She came there for the letters of transit. Isn't that true, Ilsa?
"
L119467,L119467,u667,m42,RICK,"I'm going to anyway, because it may make a difference to you later on. You said you knew about Ilsa and me.
"
L119465,L119465,u667,m42,RICK,"All except one thing. There's something you should know before you leave.
"
L119416,L119416,u667,m42,RICK,"Good. I've got the letters right here, all made out in blank.
"
L119414,L119414,u667,m42,RICK,"Oh, never mind about that. You won't have any trouble in Lisbon, will you?
"
L119412,L119412,u667,m42,RICK,"Keep it. You'll need it in America.
"
L119410,L119410,u667,m42,RICK,"Oh, save it. We've still lots of things to do.
"
L119343,L119343,u667,m42,RICK,"You love her that much?
"
L119341,L119341,u667,m42,RICK,"You seem to know all about my destiny.
"
L119339,L119339,u667,m42,RICK,"Yes, I get the point.
"
L119337,L119337,u667,m42,RICK,"What of it? Then it'll be out of it's misery.
"
L119335,L119335,u667,m42,RICK,"Don't you sometimes wonder if it's worth all this? I mean what you're fighting for?
"
L119333,L119333,u667,m42,RICK,"Had a close one, eh?
"
L119331,L119331,u667,m42,RICK,"Well, this might come in handy.
"
L119202,L119202,u667,m42,RICK,"I said, ask your wife.
"
L119200,L119200,u667,m42,RICK,"There is. I suggest that you ask your wife.
"
L119198,L119198,u667,m42,RICK,"My friend, you could make it a million francs, or three, my answer would still be the same.
"
L119196,L119196,u667,m42,RICK,"I appreciate it, but I don't accept it.
"
L119194,L119194,u667,m42,RICK,"Yes. I found that a very expensive hobby, too. But then I never was much of a businessman.
"
L119192,L119192,u667,m42,RICK,"What of it?
"
L119190,L119190,u667,m42,RICK,"I'm not interested in politics. The problems of the world are not in my department. I'm a saloon keeper.
"
L119187,L119187,u667,m42,RICK,"My office.
"
L119185,L119185,u667,m42,RICK,"Go ahead.
"
L119146,L119146,u667,m42,RICK,"I take that as a great compliment to Sam.  I suppose he means to you Paris of, well, happier days.
"
L119144,L119144,u667,m42,RICK,"Good evening.
"
L118987,L118987,u667,m42,RICK,"Signor Ferrari is the fat gent at the table.
"
L118795,L118795,u667,m42,RICK,"Any time.
"
L118790,L118790,u667,m42,RICK,"Not at all.
"
L118777,L118777,u667,m42,RICK,"We all try. You succeed.
"
L118775,L118775,u667,m42,RICK,"Your work.
"
L118773,L118773,u667,m42,RICK,"And I congratulate you.
"
L118767,L118767,u667,m42,RICK,"And about Victor Laszlo everywhere.
"
L118765,L118765,u667,m42,RICK,"How do you do?
"
L119508,L119508,u667,m42,RICK,"Louis, I think this is the beginning of a beautiful friendship.
"
L119506,L119506,u667,m42,RICK,"Our expenses?
"
L119504,L119504,u667,m42,RICK,"My letter of transit? I could use a trip. But it doesn't make any difference about our bet. You still owe me ten thousand francs.
"
L119501,L119501,u667,m42,RICK,"Maybe, but it seemed like a good time to start.
"
L119484,L119484,u667,m42,RICK,"As soon as the plane goes, Louis.
"
L119482,L119482,u667,m42,RICK,"Anyway, thanks for helping me out.
"
L119480,L119480,u667,m42,RICK,"Stay where you are. I don't know what you're talking about.
"
L119445,L119445,u667,m42,RICK,"And the names are Mr. and Mrs. Victor Laszlo.
"
L119443,L119443,u667,m42,RICK,"If you don't mind, you fill in the names. That will make it even more official.
"
L119432,L119432,u667,m42,RICK,"Just the same, you call the airport and let me hear you tell them. And remember, this gun's pointed right at your heart.
"
L119430,L119430,u667,m42,RICK,"I do. We've got plenty of time to discuss that later.
"
L119424,L119424,u667,m42,RICK,"I have. Sit down over there.
"
L119422,L119422,u667,m42,RICK,"-- Not so fast, Louis. Nobody's going to be arrested. Not for a while yet.
"
L119398,L119398,u667,m42,RICK,"Sam's piano.
"
L119396,L119396,u667,m42,RICK,"I have the letters right here.
"
L119394,L119394,u667,m42,RICK,"Yes, I know what you mean, but I've already spoken to Ferrari. You'll still win at roulette.
"
L119391,L119391,u667,m42,RICK,"I thought I asked you to tie up your watchdogs.
"
L119389,L119389,u667,m42,RICK,"You're late.
"
L119375,L119375,u667,m42,RICK,"Oh, thanks.
"
L119373,L119373,u667,m42,RICK,"I'll make the arrangements right now with Laszlo in the visitor's pen.
"
L119371,L119371,u667,m42,RICK,"Well, she isn't just any woman.
"
L119369,L119369,u667,m42,RICK,"I'll arrange to have Laszlo come there to pick up the letters of transit, and that'll give you the criminal grounds on which to make the arrest. You get him, and we get away. To the Germans that last will be just a minor annoyance.
"
L119368,L119368,u667,m42,RICK,"Then release him. You be at my place a half hour before the plane leaves.
"
L119366,L119366,u667,m42,RICK,"Ilsa is Laszlo's wife. She probably knows things that Strasser would like to know. Louis, I'll make a deal with you. Instead of this petty charge you have against him, you can get something really big, something that would chuck him in a concentration camp for years. That would be quite a feather in your cap, wouldn't it?
"
L119362,L119362,u667,m42,RICK,"Ilsa Lund.  That ought to put your mind to rest about my helping Laszlo escape. The last man I want to see in America.
"
L119360,L119360,u667,m42,RICK,"And I'm taking a friend with me. One you'll appreciate.
"
L119358,L119358,u667,m42,RICK,"You're not very subtle, but you are effective. I, I get the point. Yes, I have the letters, but I intend using them myself. I'm leaving Casablanca on tonight's plane, the last plane.
"
L119356,L119356,u667,m42,RICK,"Well, they're all excellent reasons.
"
L119354,L119354,u667,m42,RICK,"-- What makes you think I'd stick my neck out for Laszlo?
"
L119352,L119352,u667,m42,RICK,"But you haven't any actual proof, and you know it. This isn't Germany or occupied France. All you can do is fine him a few thousand francs and give him thirty days. You might as well let him go now.
"
L119214,L119214,u667,m42,RICK,"How can you close me up? On what grounds?
"
L119182,L119182,u667,m42,RICK,"Put it down as a gesture to love.
"
L119180,L119180,u667,m42,RICK,"Yeah? Why?
"
L119061,L119061,u667,m42,RICK,"So Yvonne's gone over to the enemy.
"
L119059,L119059,u667,m42,RICK,"Well, it looks like you're a little late.
"
L119057,L119057,u667,m42,RICK,"Louis, are you pro-Vichy or Free French?
"
L119055,L119055,u667,m42,RICK,"That was some going-over your men gave my place this afternoon. We just barely got cleaned up in time to open.
"
L118792,L118792,u667,m42,RICK,"Oh, it's my party.
"
L118770,L118770,u667,m42,RICK,"-- Thanks. I will.
"
L118759,L118759,u667,m42,RICK,"-- Hello, Ilsa.
"
L118625,L118625,u667,m42,RICK,"I was born in New York City if that'll help you any.
"
L118614,L118614,u667,m42,RICK,"Oh, how do you do?
"
L118578,L118578,u667,m42,RICK,"Yeah, you were saying?
"
L118575,L118575,u667,m42,RICK,"Oh, I see. Gestapo spank.
"
L118573,L118573,u667,m42,RICK,"Maybe. Well, it seems you are determined to keep Laszlo here.
"
L118571,L118571,u667,m42,RICK,"And got well paid for it on both occasions.
"
L118568,L118568,u667,m42,RICK,"Louis, whatever gave you the impression that I might be interested in helping Laszlo escape?
"
L118566,L118566,u667,m42,RICK,"Maybe he's not quite as romantic as you are.
"
L118564,L118564,u667,m42,RICK,"He'll take one.
"
L118562,L118562,u667,m42,RICK,"Why two?
"
L118560,L118560,u667,m42,RICK,"Okay.
"
L118558,L118558,u667,m42,RICK,"I just paid out twenty. I'd like to get it back.
"
L118556,L118556,u667,m42,RICK,"Twenty thousand francs says it isn't.
"
L118554,L118554,u667,m42,RICK,"-- Stop it. He escaped from a concentration camp and the Nazis have been chasing him all over Europe.
"
L118552,L118552,u667,m42,RICK,"His escape.
"
L118550,L118550,u667,m42,RICK,"It'll be interesting to see how he manages.
"
L118548,L118548,u667,m42,RICK,"Well, he's succeeded in impressing half the world.
"
L118546,L118546,u667,m42,RICK,"Victor Laszlo?
"
L118544,L118544,u667,m42,RICK,"Yeah? What's his name?
"
L118542,L118542,u667,m42,RICK,"I thought it was because we let you win at roulette.
"
L118540,L118540,u667,m42,RICK,"Yeah? Have a brandy?
"
L118533,L118533,u667,m42,RICK,"I see. And what's Strasser doing here? He certainly didn't come all the way to Casablanca to witness a demonstration of your efficiency.
"
L118531,L118531,u667,m42,RICK,"Our entertainment is enough.
"
L118528,L118528,u667,m42,RICK,"I stick my neck out for nobody.
"
L118525,L118525,u667,m42,RICK,"What, again?
"
L118517,L118517,u667,m42,RICK,"I was misinformed.
"
L118515,L118515,u667,m42,RICK,"My health. I came to Casablanca for the waters.
"
L118513,L118513,u667,m42,RICK,"It was a combination of all three.
"
L118510,L118510,u667,m42,RICK,"Why? What's in Lisbon?
"
L118507,L118507,u667,m42,RICK,"When it comes to women, you're a true democrat.
"
L118504,L118504,u667,m42,RICK,"Hello, Louis.
"
L118494,L118494,u667,m42,RICK,"Come on, we're going to get your coat.
"
L118492,L118492,u667,m42,RICK,"-- Sacha, call a cab.
"
L118488,L118488,u667,m42,RICK,"Sacha, she's had enough.
"
L118486,L118486,u667,m42,RICK,"I never make plans that far ahead.
"
L118484,L118484,u667,m42,RICK,"That's so long ago, I don't remember.
"
L119495,L119495,u667,m42,RICK,"Put it down!
"
L119493,L119493,u667,m42,RICK,"Put that phone down!
"
L119491,L119491,u667,m42,RICK,"I was willing to shoot Captain Renault, and I'm willing to shoot you.
"
L118650,L118650,u667,m42,RICK,"You'll excuse me, gentlemen. Your business is politics. Mine is running a saloon.
"
L118646,L118646,u667,m42,RICK,"Not particularly. I understand the point of view of the hound, too.
"
L118644,L118644,u667,m42,RICK,"My interest in whether Victor Laszlo stays or goes is purely a sporting one.
"
L118642,L118642,u667,m42,RICK,"Are my eyes really brown?
"
L118636,L118636,u667,m42,RICK,"I haven't the slightest idea.
"
L118634,L118634,u667,m42,RICK,"Well, there are certain sections of New York, Major, that I wouldn't advise you to try to invade.
"
L118629,L118629,u667,m42,RICK,"It's not particularly my beloved Paris.
"
L118627,L118627,u667,m42,RICK,"There seems to be no secret about that.
"
L118623,L118623,u667,m42,RICK,"I'm a drunkard.
"
L118621,L118621,u667,m42,RICK,"Make it official, if you like.
"
L118603,L118603,u667,m42,RICK,"Don't be a fool. You can't get away.
"
L118452,L118452,u667,m42,RICK,"I don't want them here overnight.
"
L118450,L118450,u667,m42,RICK,"For how long?
"
L118446,L118446,u667,m42,RICK,"Who did you bribe for your visa? Renault or yourself?
"
L118444,L118444,u667,m42,RICK,"I don't mind a parasite. I object to a cut-rate one.
"
L118442,L118442,u667,m42,RICK,"For a price, Ugarte, for a price.
"
L118440,L118440,u667,m42,RICK,"If I gave you any thought, I probably would.
"
L118438,L118438,u667,m42,RICK,"No.
"
L118434,L118434,u667,m42,RICK,"They got a lucky break. Yesterday they were just two German clerks. Today they're the 'Honored Dead'.
"
L118431,L118431,u667,m42,RICK,"-- You thought what?
"
L118429,L118429,u667,m42,RICK,"Well, what makes you think I haven't?
"
L118423,L118423,u667,m42,RICK,"Hello Ugarte.
"
L118889,L118889,u667,m42,RICK,"Where is she? Have you seen her?
"
L118872,L118872,u667,m42,RICK,"And getting closer every minute. Here. Drink up. We'll never finish the other three.
"
L118863,L118863,u667,m42,RICK,"You said it!  Here's looking at you, kid.
"
L118842,L118842,u667,m42,RICK,"If she can stand it, I can. Play it!
"
L118840,L118840,u667,m42,RICK,"You played it for her and you can play it for me.
"
L118838,L118838,u667,m42,RICK,"Well, stop it. You know what I want to hear.
"
L118836,L118836,u667,m42,RICK,"What's that you're playing?
"
L118834,L118834,u667,m42,RICK,"I bet they're asleep in New York. I'll bet they're asleep all over America.
"
L118832,L118832,u667,m42,RICK,"Sam, if it's December 1941 in Casablanca, what time is it in New York?
"
L118830,L118830,u667,m42,RICK,"They grab Ugarte and she walks in. Well, that's the way it goes. One in, one out. Sam?
"
L118828,L118828,u667,m42,RICK,"Shut up and go home, will you?
"
L118826,L118826,u667,m42,RICK,"She's coming back. I know she's coming back.
"
L118824,L118824,u667,m42,RICK,"No, sir. I'm waiting for a lady.
"
L118822,L118822,u667,m42,RICK,"Then don't have a drink.
"
L118820,L118820,u667,m42,RICK,"Good. Then have a drink.
"
L118818,L118818,u667,m42,RICK,"No.
"
L118816,L118816,u667,m42,RICK,"No.
"
L118814,L118814,u667,m42,RICK,"Not right now.
"
L118812,L118812,u667,m42,RICK,"Yeah?
"
L118478,L118478,u667,m42,RICK,"Sorry.
"
L118476,L118476,u667,m42,RICK,"He'll double what I pay you.
"
L118474,L118474,u667,m42,RICK,"Sam, Ferrari wants you to work for him at the Blue Parrot.
"
L130952,L130952,u695,m44,HOMER,"I don't know. She got left here, like the rest of us, didn't she?
"
L130949,L130949,u695,m44,HOMER,"I doubt it. She's just an...
"
L130947,L130947,u695,m44,HOMER,"I know.
"
L130944,L130944,u695,m44,HOMER,"Better than I can!
"
L130942,L130942,u695,m44,HOMER,"You cook very well!
"
L130940,L130940,u695,m44,HOMER,"What for, Buster? What would you do if you met them?
"
L130938,L130938,u695,m44,HOMER,"Whoever they were, they didn't *do* any of the things parents are supposed to do. Dr. Larch did those things, and Nurse Edna, and Nurse Angela.
"
L130936,L130936,u695,m44,HOMER,"I know who you mean. I think about leaving here, but not to find *them*.
"
L130848,L130848,u695,m44,HOMER,"I'm *not* a doctor!
"
L130846,L130846,u695,m44,HOMER,"I'm *not* a doctor. I haven't been to medical school--I haven't even been to high school!
"
L130844,L130844,u695,m44,HOMER,"He's a doctor, Buster--doctors smell like ether.
"
L130842,L130842,u695,m44,HOMER,"It's because he's too tired to sleep. He has to.
"
L131746,L131746,u695,m44,HOMER,"No. You warned me. I didn't listen, but you warned me.
"
L131744,L131744,u695,m44,HOMER,"I'm sorry for what I said about Wally needing you. It was... unnecessary.
"
L131742,L131742,u695,m44,HOMER,"Sure. Thanks.
"
L131740,L131740,u695,m44,HOMER,"She knows how to take care of herself.
"
L131718,L131718,u695,m44,HOMER,"And now that Wally's coming back, and because he'll certainly *need* you...
"
L131716,L131716,u695,m44,HOMER,"""...did."" Well, okay.
"
L131714,L131714,u695,m44,HOMER,"I *helped* you not to think about Wally. You were so upset--you couldn't stand worrying about him, about his being killed and not coming back-- but when you were with me, you could stop worrying... well, for a while, anyway. This is how I helped you, right?
"
L131713,L131713,u695,m44,HOMER,"No, that's not it--I just want to be sure I understand you.
"
L131662,L131662,u695,m44,HOMER,"He's *alive*. He still loves you.  So do I.
"
L131660,L131660,u695,m44,HOMER,"I know, I'm sorry.
"
L131658,L131658,u695,m44,HOMER,"You got up! You *did* something! If you keep this up, you might be in danger of making a *decision*!
"
L131656,L131656,u695,m44,HOMER,"I'm not trying to be anything--I'm just doing nothing! If I wait and see long enough, then--with any luck-- I won't *ever* have to make up my mind! Decisions can be painful, after all...
"
L131654,L131654,u695,m44,HOMER,"*Go* anywhere? Of course not! That would be *doing* something, wouldn't it? We wouldn't want to *do* something. Let's just sit here all night!
"
L131649,L131649,u695,m44,HOMER,"I know.  Is *that* nothing.
"
